Hail ID,Date/Time,Latitude,Longitude,Hail size,
242,1979-11-12 02:00:00,-33.6667,151.0000,5.0,
243,1979-11-25 19:00:00,-34.0000,151.0000,4.4,
244,1980-04-29 14:00:00,-33.8834,150.3500,4.4,
245,1980-12-15 14:00:00,-28.5000,153.3000,7.0,
246,1981-10-10 14:00:00,-33.4833,150.1667,4.4,
247,1981-12-18 14:00:00,-33.8834,151.2167,2.5,
248,1982-01-06 14:00:00,-30.6333,151.5000,0.0,
249,1982-01-06 14:00:00,-33.0833,151.6333,4.4,
250,1982-01-31 04:00:00,-33.7167,150.3167,4.4,
251,1982-01-31 04:16:00,-32.1667,150.8834,7.0,
252,1982-12-11 14:00:00,-29.7333,151.7333,4.2,
253,1983-02-02 14:00:00,-33.7167,150.3167,4.4,
254,1983-02-14 14:00:00,-32.1500,150.3500,0.0,
255,1983-02-16 14:00:00,-32.4000,149.8834,4.4,
256,1983-08-28 14:00:00,-33.8834,151.2167,2.5,
257,1983-09-15 10:00:00,-35.0000,146.0000,5.5,
258,1983-09-29 05:00:00,-33.8834,151.0000,2.5,
259,1983-10-03 05:00:00,-33.9500,149.5333,6.0,
260,1983-12-09 14:00:00,-33.7000,150.5667,0.0,
261,1983-12-10 04:30:00,-30.5167,151.6667,4.0,
262,1984-01-01 14:00:00,-33.8834,151.2167,2.5,
263,1984-01-08 04:00:00,-33.5000,151.0000,3.5,
264,1984-11-08 14:00:00,-33.8667,151.2000,2.0,
265,1984-12-10 14:00:00,-34.3167,148.3000,3.5,
266,1984-12-10 14:00:00,-33.2833,149.1000,2.5,
267,1984-12-26 05:00:00,-31.4500,152.9167,6.3,
268,1985-10-16 14:00:00,-34.4333,150.8834,2.5,
269,1985-11-26 14:00:00,-33.8834,151.2167,2.0,
270,1985-12-04 14:00:00,-37.2667,150.0500,4.4,
271,1985-12-13 14:00:00,-30.5167,151.6667,4.4,
272,1985-12-15 14:00:00,-34.0000,151.0000,2.0,
273,1985-12-31 14:00:00,-34.0500,150.7000,4.4,
